date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:45:04	94/94	---MCZ	200	added ('OK')	text/plain	etag:W/%2266d84a86-58%22	https://cse.lk/robots.txt		(from )
08:45:05	10615/10615	---MCZ	200	added ('OK')	text/html	etag:W/%2266d84a87-2977%22	https://cse.lk/	/tmp/cse.lk/202409080845/cse.lk/index.html	(from )
08:45:06	157/157	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2008%20Sep%202024%2008:45:05%20GMT	http://cse.lk/assets/images/favicon-cse.ico	/tmp/cse.lk/202409080845/cse.lk/assets/images/favicon-cse.0.delayed	(from https://cse.lk/)
08:45:06	0/-1	---M--	301	error ('')			http://cse.lk/assets/images/favicon-cse.ico	/tmp/cse.lk/202409080845/cse.lk/assets/images/favicon-cse.1.delayed	(from https://cse.lk/)
08:45:06	157/157	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2008%20Sep%202024%2008:45:06%20GMT	http://cse.lk/manifest.webmanifest	/tmp/cse.lk/202409080845/cse.lk/manifest.webmanifest	(from https://cse.lk/)
08:45:07	157/157	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2008%20Sep%202024%2008:45:07%20GMT	http://cse.lk/assets/dflip/css/dflip.css	/tmp/cse.lk/202409080845/cse.lk/assets/dflip/css/dflip.css	(from https://cse.lk/)
08:45:08	157/157	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2008%20Sep%202024%2008:45:08%20GMT	http://cse.lk/assets/dflip/css/themify-icons.css	/tmp/cse.lk/202409080845/cse.lk/assets/dflip/css/themify-icons.css	(from https://cse.lk/)
08:45:09	157/157	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2008%20Sep%202024%2008:45:09%20GMT	http://cse.lk/styles.16ebe4b59d96a5966faa.css	/tmp/cse.lk/202409080845/cse.lk/styles.16ebe4b59d96a5966faa.css	(from https://cse.lk/)
08:45:10	157/157	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2008%20Sep%202024%2008:45:10%20GMT	http://cse.lk/assets/dflip/js/dflip.min.js	/tmp/cse.lk/202409080845/cse.lk/assets/dflip/js/dflip.min.js	(from https://cse.lk/)
08:45:11	157/157	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2008%20Sep%202024%2008:45:11%20GMT	http://cse.lk/pages/ebook/ebook.component.html?topic=	/tmp/cse.lk/202409080845/cse.lk/pages/ebook/ebook.component5a9e.html	(from https://cse.lk/)
08:45:12	157/157	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2008%20Sep%202024%2008:45:12%20GMT	http://cse.lk/runtime.c993632c0e5f98dac378.js	/tmp/cse.lk/202409080845/cse.lk/runtime.c993632c0e5f98dac378.js	(from https://cse.lk/)
08:45:13	157/157	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2008%20Sep%202024%2008:45:13%20GMT	http://cse.lk/polyfills-es5.26c7e2ce3c8db04267f9.js	/tmp/cse.lk/202409080845/cse.lk/polyfills-es5.26c7e2ce3c8db04267f9.js	(from https://cse.lk/)
08:45:14	157/157	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2008%20Sep%202024%2008:45:14%20GMT	http://cse.lk/polyfills.4e3216da8ea0b642b681.js	/tmp/cse.lk/202409080845/cse.lk/polyfills.4e3216da8ea0b642b681.js	(from https://cse.lk/)
08:45:15	157/157	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2008%20Sep%202024%2008:45:15%20GMT	http://cse.lk/scripts.78b7621923ff88e7244f.js	/tmp/cse.lk/202409080845/cse.lk/scripts.78b7621923ff88e7244f.js	(from https://cse.lk/)
08:45:16	157/157	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2008%20Sep%202024%2008:45:16%20GMT	http://cse.lk/vendor.4e9e7aa9296e8a70f03e.js	/tmp/cse.lk/202409080845/cse.lk/vendor.4e9e7aa9296e8a70f03e.js	(from https://cse.lk/)
08:45:17	157/157	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2008%20Sep%202024%2008:45:17%20GMT	http://cse.lk/main.0e7c45ae76ff95887266.js	/tmp/cse.lk/202409080845/cse.lk/main.0e7c45ae76ff95887266.js	(from https://cse.lk/)
